,Race/Topic (Click to Sort),Poll,Results,Spread,Date,Year,score
0,Pennsylvania 12th District Special Election - Burns vs. Critz,PPP (D),"Burns 44, Critz 41",3,2010-04-20,2010,9.0
1,New Hampshire 1st District - Guinta vs. Shea-Porter,PPP (D),"Guinta 46, Shea-Porter 45",1,2010-04-22,2010,9.0
2,New Hampshire 2nd District - Bass vs. Swett,PPP (D),"Bass 47, Swett 32",15,2010-04-22,2010,9.0
3,New Hampshire 1st District - Guinta vs. Shea-Porter,WMUR/UNH,"Guinta 42, Shea-Porter 38",4,2010-04-30,2010,0.0
4,New Hampshire 2nd District - Bass vs. Swett,WMUR/UNH,"Bass 44, Swett 27",17,2010-04-30,2010,0.0
5,Maryland 1st District - Harris vs. Kratovil,POS (R),"Harris 39, Kratovil 36",3,2010-05-01,2010,13.0
6,Pennsylvania 12th District Special Election - Burns vs. Critz,R2000/Daily Kos (D),"Burns 46, Critz 40",6,2010-05-01,2010,0.0
7,Pennsylvania 12th District Special Election - Burns vs. Critz,R2000/Daily Kos (D),"Critz 40, Burns 46",6,2010-05-01,2010,0.0
8,Hawaii 1st District Special Election - Djou vs. Case vs. Hanabusa,Honolulu Advertiser,"Djou 36, Case 28, Hanabusa 22",8,2010-05-02,2010,0.0
9,Pennsylvania 12th District Special Election - Burns vs. Critz,Susquehanna,"Critz 44, Burns 38",6,2010-05-12,2010,7.0
10,Pennsylvania 12th District Special Election - Burns vs. Critz,Susquehanna,"Burns 38, Critz 44",6,2010-05-12,2010,7.0
11,Pennsylvania 12th District Special Election - Burns vs. Critz,PPP (D),"Critz 47, Burns 48",1,2010-05-17,2010,9.0
12,South Carolina 4th District - Republican Primary,PPP (D),"Gowdy 37, Inglis 33, Lee 9, Thomas 9, Jeffrey 5",4,2010-06-06,2010,9.0
13,North Carolina 2nd District - Ellmers vs. Etheridge vs. Rose,SurveyUSA,"Ellmers 39, Etheridge 38, Rose 13",1,2010-06-17,2010,12.0
